gene,Position,Gene synonym,Ensembl,Gene description
ELF2,chr4:139028112-139177218,"EU32, NERF, NERF-1A, NERF-1B, NERF-2",ENSG00000109381,E74 like ETS transcription factor 2
ELF3,chr1:202007945-202017183,"EPR-1, ERT, ESE-1, ESX",ENSG00000163435,E74 like ETS transcription factor 3
ELF4,chrX:130063955-130110716,"ELFR, MEF",ENSG00000102034,E74 like ETS transcription factor 4
ELF5,chr11:34478791-34525193,NA,ENSG00000135374,E74 like ETS transcription factor 5
ELFN1,chr7:1665745-1747946,PPP1R28,ENSG00000225968,Extracellular leucine rich repeat and fibronectin type III domain containing 1
ELFN2,chr22:37367960-37427479,"dJ63G5.3, KIAA1904, LRRC62, PPP1R29",ENSG00000166897,Extracellular leucine rich repeat and fibronectin type III domain containing 2
ELK1,chrX:47635521-47650604,NA,ENSG00000126767,ETS transcription factor ELK1
ELK3,chr12:96194375-96269824,"ERP, NET, SAP2",ENSG00000111145,ETS transcription factor ELK3
ELK4,chr1:205597556-205632011,SAP1,ENSG00000158711,ETS transcription factor ELK4
ELL,chr19:18442663-18522116,"C19orf17, ELL1, Men, PPP1R68",ENSG00000105656,Elongation factor for RNA polymerase II
ELL2,chr5:95885098-95961851,MRCCAT1,ENSG00000118985,Elongation factor for RNA polymerase II 2
ELL3,chr15:43772605-43777315,FLJ22637,ENSG00000128886,Elongation factor for RNA polymerase II 3
ELMO1,chr7:36852906-37449223,"CED-12, CED12, ELMO-1, KIAA0281",ENSG00000155849,Engulfment and cell motility 1
ELMO2,chr20:46366050-46432985,"CED-12, CED12, ELMO-2, FLJ11656, KIAA1834",ENSG00000062598,Engulfment and cell motility 2
ELMO3,chr16:67199111-67204029,"CED-12, CED12, ELMO-3, FLJ13824",ENSG00000102890,Engulfment and cell motility 3
ELMOD1,chr11:107591091-107666779,DKFZp547C176,ENSG00000110675,ELMO domain containing 1
ELMOD2,chr4:140524168-140553770,MGC10084,ENSG00000179387,ELMO domain containing 2
ELMOD3,chr2:85354394-85391752,"DFNB88, FLJ21977, RBED1, RBM29",ENSG00000115459,ELMO domain containing 3
ELN,chr7:74027789-74069907,"SVAS, WBS, WS",ENSG00000049540,Elastin
ELOA,chr1:23743448-23762059,"SIII, TCEB3, TCEB3A",ENSG00000011007,Elongin A
ELOA2,chr18:47032527-47035621,"HsT832, TCEB3B, TCEB3L",ENSG00000206181,Elongin A2
ELOB,chr16:2771414-2777289,"SIII, TCEB2",ENSG00000103363,Elongin B
ELOC,chr8:73939169-73972307,"SIII, TCEB1",ENSG00000154582,Elongin C
ELOF1,chr19:11551147-11559230,"ELF1, MGC4549",ENSG00000130165,Elongation factor 1
ELOVL1,chr1:43363398-43368074,Ssc1,ENSG00000066322,ELOVL fatty acid elongase 1
ELOVL2,chr6:10980759-11044305,Ssc2,ENSG00000197977,ELOVL fatty acid elongase 2
ELOVL3,chr10:102226299-102229589,CIG-30,ENSG00000119915,ELOVL fatty acid elongase 3
ELOVL4,chr6:79914814-79947553,"CT118, SCA34, STGD2, STGD3",ENSG00000118402,ELOVL fatty acid elongase 4
ELOVL5,chr6:53267398-53349179,"dJ483K16.1, HELO1, SCA38",ENSG00000012660,ELOVL fatty acid elongase 5
ELOVL6,chr4:110045846-110199199,"FLJ23378, LCE, MGC5487",ENSG00000170522,ELOVL fatty acid elongase 6
ELOVL7,chr5:60751791-60844274,FLJ23563,ENSG00000164181,ELOVL fatty acid elongase 7
ELP1,chr9:108866898-108934328,"DYS, IKAP, IKBKAP, IKI3, TOT1",ENSG00000070061,Elongator acetyltransferase complex subunit 1
ELP2,chr18:36129444-36180557,"FLJ10879, STATIP1, StIP",ENSG00000134759,Elongator acetyltransferase complex subunit 2
ELP3,chr8:28089673-28191156,"FLJ10422, KAT9",ENSG00000134014,Elongator acetyltransferase complex subunit 3
ELP4,chr11:31509755-31790324,"C11orf19, PAXNEB",ENSG00000109911,Elongator acetyltransferase complex subunit 4
ELP5,chr17:7251416-7259940,"C17orf81, DERP6",ENSG00000170291,Elongator acetyltransferase complex subunit 5
ELP6,chr3:47495640-47513712,"C3orf75, FLJ20211, TMEM103",ENSG00000163832,Elongator acetyltransferase complex subunit 6
ELSPBP1,chr19:47994632-48025154,"E12, EDDM12, HE12",ENSG00000169393,Epididymal sperm binding protein 1
EMB,chr5:50396192-50443248,MGC71745,ENSG00000170571,Embigin
EMC1,chr1:19215660-19251552,KIAA0090,ENSG00000127463,ER membrane protein complex subunit 1
EMC10,chr19:50476400-50490871,"C19orf63, HSM1, HSS1, INM02",ENSG00000161671,ER membrane protein complex subunit 10
EMC2,chr8:108443601-108489196,"KIAA0103, TTC35",ENSG00000104412,ER membrane protein complex subunit 2
EMC3,chr3:9962682-10011202,TMEM111,ENSG00000125037,ER membrane protein complex subunit 3
EMC4,chr15:34225013-34230156,"FLJ90746, MGC24415, PIG17, TMEM85",ENSG00000128463,ER membrane protein complex subunit 4
EMC6,chr17:3668812-3669668,"MGC2963, RAB5IFL, TMEM93",ENSG00000127774,ER membrane protein complex subunit 6
EMC7,chr15:34084017-34101862,"C11orf3, C15orf24",ENSG00000134153,ER membrane protein complex subunit 7
EMC8,chr16:85771758-85799608,"C16orf2, C16orf4, COX4NB, FAM158B, NOC4",ENSG00000131148,ER membrane protein complex subunit 8
EMC9,chr14:24138959-24141591,"C14orf122, CGI-112, FAM158A",ENSG00000100908,ER membrane protein complex subunit 9
EMCN,chr4:100395341-100880126,MUC14,ENSG00000164035,Endomucin
EMD,chrX:154379273-154381574,"LEMD5, STA",ENSG00000102119,Emerin
EME1,chr17:50373220-50381483,"FLJ31364, MMS4L, SLX2A",ENSG00000154920,Essential meiotic structure-specific endonuclease 1
EME2,chr16:1772810-1781708,"FLJ00151, SLX2B",ENSG00000197774,Essential meiotic structure-specific endonuclease subunit 2
EMG1,chr12:6970913-6979936,"C2F, Grcc2f, NEP1",ENSG00000126749,EMG1 N1-specific pseudouridine methyltransferase
EMID1,chr22:29205896-29259597,"EMI5, EMU1, hEmu1",ENSG00000186998,EMI domain containing 1
EMILIN1,chr2:27078615-27086403,"DKFZp586M121, EMILIN, gp115",ENSG00000138080,Elastin microfibril interfacer 1
EMILIN2,chr18:2847006-2916003,"FLJ33200, FOAP-10",ENSG00000132205,Elastin microfibril interfacer 2
EMILIN3,chr20:41359962-41366818,"C20orf130, dJ620E11.4, EMILIN5",ENSG00000183798,Elastin microfibril interfacer 3
EML1,chr14:99737693-99942060,"ELP79, EMAP, EMAPL, HuEMAP",ENSG00000066629,EMAP like 1
EML2,chr19:45606994-45645602,"ELP70, EMAP-2, EMAP2",ENSG00000125746,EMAP like 2
EML3,chr11:62602218-62612775,"ELP95, FLJ35827",ENSG00000149499,EMAP like 3
EML4,chr2:42169353-42332548,"C2orf2, ELP120, ROPP120",ENSG00000143924,EMAP like 4
EML5,chr14:88612431-88792953,"EMAP-2, FAP16, HuEMAP-2",ENSG00000165521,EMAP like 5
EML6,chr2:54723499-54972025,FLJ42562,ENSG00000214595,EMAP like 6
EMP1,chr12:13196723-13219941,"CL-20, TMP",ENSG00000134531,Epithelial membrane protein 1
EMP2,chr16:10528422-10580632,XMP,ENSG00000213853,Epithelial membrane protein 2
EMP3,chr19:48321509-48330553,YMP,ENSG00000142227,Epithelial membrane protein 3
EMSY,chr11:76444923-76553031,C11orf30,ENSG00000158636,"EMSY transcriptional repressor, BRCA2 interacting"
EMX1,chr2:72916260-72936071,NA,ENSG00000135638,Empty spiracles homeobox 1
EMX2,chr10:117542445-117549546,NA,ENSG00000170370,Empty spiracles homeobox 2
EN1,chr2:118842171-118847648,NA,ENSG00000163064,Engrailed homeobox 1
EN2,chr7:155458129-155464831,NA,ENSG00000164778,Engrailed homeobox 2
ENAH,chr1:225486765-225653142,"FLJ10773, MENA, NDPP1",ENSG00000154380,ENAH actin regulator
ENAM,chr4:70628744-70646824,AIH2,ENSG00000132464,Enamelin
ENC1,chr5:74627406-74641424,"ENC-1, KLHL37, NRPB, PIG10, TP53I10",ENSG00000171617,Ectodermal-neural cortex 1
ENDOD1,chr11:95089846-95132645,KIAA0830,ENSG00000149218,Endonuclease domain containing 1
ENDOG,chr9:128818500-128822676,NA,ENSG00000167136,Endonuclease G
ENDOU,chr12:47709734-47725567,"P11, PP11, PRSS26",ENSG00000111405,"Endonuclease, poly(U) specific"
ENDOV,chr17:80415165-80438086,FLJ35220,ENSG00000173818,Endonuclease V
ENG,chr9:127815013-127854658,"CD105, END, HHT1, ORW, ORW1",ENSG00000106991,Endoglin
ENGASE,chr17:79074824-79088599,FLJ21865,ENSG00000167280,Endo-beta-N-acetylglucosaminidase
ENHO,chr9:34521043-34522990,"C9orf165, UNQ470",ENSG00000168913,Energy homeostasis associated
ENKD1,chr16:67662945-67667265,"C16orf48, DKFZP434A1319, FBB11",ENSG00000124074,Enkurin domain containing 1
ENKUR,chr10:24981979-25062279,"C10orf63, CFAP106, enkurin, MGC26778",ENSG00000151023,"Enkurin, TRPC channel interacting protein"
ENO1,chr1:8861000-8879190,"ENO1L1, MBP-1, MPB1, PPH",ENSG00000074800,Enolase 1
ENO2,chr12:6913745-6923698,NSE,ENSG00000111674,Enolase 2
ENO3,chr17:4948092-4957131,NA,ENSG00000108515,Enolase 3
ENO4,chr10:116849499-116911788,"AC023283.3, C10orf134",ENSG00000188316,Enolase 4
ENOPH1,chr4:82430590-82461177,"E1, MASA, mtnC",ENSG00000145293,Enolase-phosphatase 1
ENOSF1,chr18:670318-712662,"FUCD, HSRTSBETA, rTS, TYMSAS",ENSG00000132199,Enolase superfamily member 1
ENOX1,chr13:43213130-43786972,"cCNOX, CNOX, FLJ10094, PIG38",ENSG00000120658,Ecto-NOX disulfide-thiol exchanger 1
ENOX2,chrX:130622325-130903234,"APK1, COVA1, tNOX",ENSG00000165675,Ecto-NOX disulfide-thiol exchanger 2
ENPEP,chr4:110365733-110565285,"CD249, gp160",ENSG00000138792,Glutamyl aminopeptidase
ENPP1,chr6:131808016-131895155,"M6S1, NPPS, PC-1, PCA1, PDNP1",ENSG00000197594,Ectonucleotide pyrophosphatase/phosphodiesterase 1
ENPP2,chr8:119557086-119673453,"ATX, PD-IALPHA, PDNP2",ENSG00000136960,Ectonucleotide pyrophosphatase/phosphodiesterase 2
ENPP3,chr6:131628442-131747418,"B10, CD203c, gp130RB13-6, PD-IBETA, PDNP3",ENSG00000154269,Ectonucleotide pyrophosphatase/phosphodiesterase 3
ENPP4,chr6:46129989-46146688,"AP3Aase, KIAA0879, NPP4",ENSG00000001561,Ectonucleotide pyrophosphatase/phosphodiesterase 4
ENPP5,chr6:46159185-46170980,NA,ENSG00000112796,Ectonucleotide pyrophosphatase/phosphodiesterase family member 5
ENPP6,chr4:184088706-184221230,MGC33971,ENSG00000164303,Ectonucleotide pyrophosphatase/phosphodiesterase 6
ENPP7,chr17:79730943-79742219,"alk-SMase, NPP7",ENSG00000182156,Ectonucleotide pyrophosphatase/phosphodiesterase 7
ENSA,chr1:150600851-150629612,"ARPP-19e, MGC4319, MGC78563, MGC8394",ENSG00000143420,Endosulfine alpha
ENTHD1,chr22:39743044-39893864,FLJ25421,ENSG00000176177,ENTH domain containing 1
ENTPD1,chr10:95711779-95877266,"ATPDase, CD39, NTPDase-1, SPG64",ENSG00000138185,Ectonucleoside triphosphate diphosphohydrolase 1
ENTPD2,chr9:137048107-137054061,"CD39L1, NTPDase-2",ENSG00000054179,Ectonucleoside triphosphate diphosphohydrolase 2
ENTPD3,chr3:40387184-40428744,"CD39L3, HB6, NTPDase-3",ENSG00000168032,Ectonucleoside triphosphate diphosphohydrolase 3
ENTPD4,chr8:23385783-23457695,"KIAA0392, LALP70, LAP70, LYSAL1, NTPDase-4, UDPase",ENSG00000197217,Ectonucleoside triphosphate diphosphohydrolase 4
ENTPD5,chr14:73958010-74019399,"CD39L4, NTPDase-5, PCPH",ENSG00000187097,Ectonucleoside triphosphate diphosphohydrolase 5 (inactive)
ENTPD6,chr20:25195693-25228075,"CD39L2, dJ738P15.3, IL6ST2, NTPDase-6",ENSG00000197586,Ectonucleoside triphosphate diphosphohydrolase 6
ENTPD7,chr10:99659509-99711241,"FLJ30978, LALP1",ENSG00000198018,Ectonucleoside triphosphate diphosphohydrolase 7
ENTPD8,chr9:137434364-137441816,"NTPDase-8, UNQ2492",ENSG00000188833,Ectonucleoside triphosphate diphosphohydrolase 8
ENTR1,chr9:136401922-136410614,"NY-CO-3, SDCCAG3",ENSG00000165689,Endosome associated trafficking regulator 1
ENTREP1,chr9:69324567-69392558,"C9orf61, ENTREP, FAM189A2, X123",ENSG00000135063,Endosomal transmembrane epsin interactor 1
ENTREP2,chr15:29120252-29570979,"FAM189A1, KIAA0574, TMEM228",ENSG00000104059,Endosomal transmembrane epsin interactor 2
ENTREP3,chr1:155247205-155255483,"C1orf2, cote1, FAM189B",ENSG00000160767,Endosomal transmembrane epsin interactor 3
ENY2,chr8:109334324-109345954,"DC6, FLJ20480, Sus1",ENSG00000120533,ENY2 transcription and export complex 2 subunit
EOGT,chr3:68975217-69013684,"AER61, C3orf64, FLJ33770",ENSG00000163378,EGF domain specific O-linked N-acetylglucosamine transferase
EOLA1,chrX:149540355-149550510,"CXorf40, CXorf40A",ENSG00000197620,Endothelium and lymphocyte associated ASCH domain 1
EOLA2,chrX:149929527-149938700,CXorf40B,ENSG00000197021,Endothelium and lymphocyte associated ASCH domain 2
EOMES,chr3:27715949-27722711,TBR2,ENSG00000163508,Eomesodermin
EP300,chr22:41092592-41180077,"KAT3B, p300",ENSG00000100393,E1A binding protein p300
EP400,chr12:131949942-132080460,"CAGH32, DKFZP434I225, KIAA1498, KIAA1818, P400, TNRC12",ENSG00000183495,E1A binding protein p400
EPAS1,chr2:46293667-46386697,"bHLHe73, HIF2A, HLF, MOP2, PASD2",ENSG00000116016,Endothelial PAS domain protein 1
EPB41,chr1:28887091-29120046,"4.1R, EL1",ENSG00000159023,Erythrocyte membrane protein band 4.1
EPB41L1,chr20:36091504-36232799,"4.1N, KIAA0338",ENSG00000088367,Erythrocyte membrane protein band 4.1 like 1
EPB41L2,chr6:130839347-131063322,"4.1-G, 4.1G",ENSG00000079819,Erythrocyte membrane protein band 4.1 like 2
EPB41L3,chr18:5392381-5630700,"4.1B, DAL1, KIAA0987",ENSG00000082397,Erythrocyte membrane protein band 4.1 like 3
EPB41L4A,chr5:112142441-112419313,NBL4,ENSG00000129595,Erythrocyte membrane protein band 4.1 like 4A
EPB41L4B,chr9:109171974-109321059,"EHM2, LULU2",ENSG00000095203,Erythrocyte membrane protein band 4.1 like 4B
EPB41L5,chr2:120013077-120179119,"BE37, FLJ12957, KIAA1548, LULU, LULU1, YMO1, YRT",ENSG00000115109,Erythrocyte membrane protein band 4.1 like 5
EPB42,chr15:43197227-43221018,"MGC116735, MGC116737, PA",ENSG00000166947,Erythrocyte membrane protein band 4.2
EPC1,chr10:32267751-32378798,Epl1,ENSG00000120616,Enhancer of polycomb homolog 1
EPC2,chr2:148644440-148787569,DKFZP566F2124,ENSG00000135999,Enhancer of polycomb homolog 2
EPCAM,chr2:47345158-47387601,"17-1A, 323/A3, Ber-Ep4, BerEp4, CD326, CO-17A, EGP-2, EGP34, EGP40, Ep-CAM, ESA, GA733-2, HEA125, KS1/4, KSA, Ly74, M4S1, MH99, MIC18, MK-1, MOC-31, MOC31, TACST-1, TACSTD1, TROP1",ENSG00000119888,Epithelial cell adhesion molecule
EPDR1,chr7:37920640-37951936,"EPDR, MERP-1, MERP1, UCC1",ENSG00000086289,Ependymin related 1
EPG5,chr18:45800581-45967329,"hEPG5, KIAA1632",ENSG00000152223,Ectopic P-granules 5 autophagy tethering factor
EPGN,chr4:74308470-74316789,"ALGV3072, EPG, PRO9904",ENSG00000182585,Epithelial mitogen
EPHA1,chr7:143390289-143408856,"EPH, EPHT, EPHT1",ENSG00000146904,EPH receptor A1
EPHA10,chr1:37713880-37765133,"FLJ16103, FLJ33655",ENSG00000183317,EPH receptor A10
EPHA2,chr1:16124337-16156069,ECK,ENSG00000142627,EPH receptor A2
EPHA3,chr3:89107621-89482134,"ETK, ETK1, HEK, HEK4, TYRO4",ENSG00000044524,EPH receptor A3
EPHA4,chr2:221418027-221574202,"Hek8, TYRO1",ENSG00000116106,EPH receptor A4
EPHA5,chr4:65319563-65670495,"CEK7, EHK1, Hek7, TYRO4",ENSG00000145242,EPH receptor A5
EPHA6,chr3:96814581-97761532,FLJ35246,ENSG00000080224,EPH receptor A6
EPHA7,chr6:93240020-93419687,Hek11,ENSG00000135333,EPH receptor A7
EPHA8,chr1:22563489-22603595,"EEK, Hek3",ENSG00000070886,EPH receptor A8
EPHB1,chr3:134795260-135260467,"EPHT2, Hek6",ENSG00000154928,EPH receptor B1
EPHB2,chr1:22710839-22921500,"DRT, EPHT3, ERK, Hek5, Tyro5",ENSG00000133216,EPH receptor B2
EPHB3,chr3:184561785-184582408,"ETK2, Hek2, Tyro6",ENSG00000182580,EPH receptor B3
EPHB4,chr7:100802565-100827523,"HTK, Tyro11",ENSG00000196411,EPH receptor B4
EPHB6,chr7:142855061-142871094,HEP,ENSG00000106123,EPH receptor B6
EPHX1,chr1:225810124-225845563,EPHX,ENSG00000143819,Epoxide hydrolase 1
EPHX2,chr8:27490781-27545564,"ABHD20, sEH",ENSG00000120915,Epoxide hydrolase 2
EPHX3,chr19:15226919-15233435,"ABHD9, FLJ22408",ENSG00000105131,Epoxide hydrolase 3
EPHX4,chr1:92029985-92063538,"ABHD7, EH4, EPHXRP, FLJ90341",ENSG00000172031,Epoxide hydrolase 4
EPM2A,chr6:145382535-145736023,"LD, LDE",ENSG00000112425,"EPM2A glucan phosphatase, laforin"
EPM2AIP1,chr3:36985043-36993131,"FLJ11207, KIAA0766",ENSG00000178567,EPM2A interacting protein 1
EPN1,chr19:55675226-55709858,NA,ENSG00000063245,Epsin 1
EPN2,chr17:19215615-19336715,"EHB21, KIAA1065",ENSG00000072134,Epsin 2
EPN3,chr17:50532682-50543750,"FLJ20778, MGC129899",ENSG00000049283,Epsin 3
EPO,chr7:100720468-100723700,EP,ENSG00000130427,Erythropoietin
EPOP,chr17:38671703-38674957,"C17orf96, LOC100170841, PRR28",ENSG00000273604,Elongin BC and polycomb repressive complex 2 associated protein
EPOR,chr19:11377207-11384342,NA,ENSG00000187266,Erythropoietin receptor
EPPIN,chr20:45540626-45547752,"CT71, dJ461P17.2, EPPIN1, EPPIN2, EPPIN3, SPINLW1, WAP7, WFDC7",ENSG00000101448,Epididymal peptidase inhibitor
EPPIN-WFDC6,chr20:45534196-45547662,SPINLW1-WFDC6,ENSG00000249139,EPPIN-WFDC6 readthrough
EPPK1,chr8:143857324-143878467,EPIPL1,ENSG00000261150,Epiplakin 1
EPRS1,chr1:219968600-220046530,"EARS, EPRS, GLUPRORS, PARS, QARS, QPRS",ENSG00000136628,Glutamyl-prolyl-tRNA synthetase 1
EPS15,chr1:51354263-51519328,"AF-1P, MLLT5",ENSG00000085832,Epidermal growth factor receptor pathway substrate 15
EPS15L1,chr19:16355239-16472085,eps15R,ENSG00000127527,Epidermal growth factor receptor pathway substrate 15 like 1
EPS8,chr12:15620134-15882329,NA,ENSG00000151491,Epidermal growth factor receptor pathway substrate 8
EPS8L1,chr19:55072020-55087923,"DRC3, FLJ20258, MGC23164, MGC4642",ENSG00000131037,EPS8 like 1
EPS8L2,chr11:694438-727727,"FLJ21935, FLJ22171, MGC3088",ENSG00000177106,EPS8 like 2
EPS8L3,chr1:109750080-109764027,"FLJ21522, MGC16817",ENSG00000198758,EPS8 like 3
EPSTI1,chr13:42886388-42992271,"BRESI1, MGC29634",ENSG00000133106,Epithelial stromal interaction 1
EPX,chr17:58192726-58205174,"EPO, EPP, EPX-PEN",ENSG00000121053,Eosinophil peroxidase
EPYC,chr12:90963682-91005026,"DSPG3, Pg-Lb, SLRR3B",ENSG00000083782,Epiphycan
EQTN,chr9:27284654-27297150,"AFAF, C9orf11, equatorin, SPACA8",ENSG00000120160,Equatorin
ERAL1,chr17:28855010-28861061,HERA-B,ENSG00000132591,Era like 12S mitochondrial rRNA chaperone 1
ERAP1,chr5:96760810-96808100,"A-LAP, ARTS-1, ERAAP1, KIAA0525, PILS-AP",ENSG00000164307,Endoplasmic reticulum aminopeptidase 1
ERAP2,chr5:96875986-96919703,"L-RAP, LRAP",ENSG00000164308,Endoplasmic reticulum aminopeptidase 2
ERAS,chrX:48826513-48830138,"HRAS2, HRASP",ENSG00000187682,ES cell expressed Ras
ERBB2,chr17:39687914-39730426,"c-ERB-2, c-ERB2, CD340, HER-2, HER2, MLN-19, NEU, NGL, p185(erbB2)",ENSG00000141736,Erb-b2 receptor tyrosine kinase 2
ERBB3,chr12:56076799-56103505,"HER3, LCCS2",ENSG00000065361,Erb-b2 receptor tyrosine kinase 3
ERBB4,chr2:211375717-212538841,"ALS19, HER4",ENSG00000178568,Erb-b2 receptor tyrosine kinase 4
ERBIN,chr5:65883128-66082546,"ERBB2IP, LAP2",ENSG00000112851,Erbb2 interacting protein
ERC1,chr12:990509-1495933,"CAST2, ELKS, KIAA1081, MGC12974, RAB6IP2",ENSG00000082805,ELKS/RAB6-interacting/CAST family member 1
ERC2,chr3:55508311-56469095,"CAST, CAST1, ELKSL, KIAA0378, SPBC110, Spc110",ENSG00000187672,ELKS/RAB6-interacting/CAST family member 2
ERCC1,chr19:45407334-45478828,RAD10,ENSG00000012061,"ERCC excision repair 1, endonuclease non-catalytic subunit"
ERCC2,chr19:45349837-45370918,"EM9, MAG, MGC102762, MGC126218, MGC126219, XPD",ENSG00000104884,"ERCC excision repair 2, TFIIH core complex helicase subunit"
ERCC3,chr2:127257290-127294166,"BTF2, RAD25, Ssl2, XPB",ENSG00000163161,"ERCC excision repair 3, TFIIH core complex helicase subunit"
ERCC4,chr16:13920138-13952348,"FANCQ, RAD1, XPF",ENSG00000175595,"ERCC excision repair 4, endonuclease catalytic subunit"
ERCC5,chr13:102845831-102875995,"ERCM2, XPGC",ENSG00000134899,"ERCC excision repair 5, endonuclease"
ERCC6,chr10:49454168-49539538,"ARMD5, CKN2, CSB, RAD26",ENSG00000225830,"ERCC excision repair 6, chromatin remodeling factor"
ERCC6L,chrX:72204657-72239027,"FLJ20105, PICH, RAD26L",ENSG00000186871,"ERCC excision repair 6 like, spindle assembly checkpoint helicase"
ERCC6L2,chr9:95871264-96121154,"C9orf102, FLJ37706, HEBO, RAD26L",ENSG00000182150,ERCC excision repair 6 like 2
ERCC8,chr5:60866454-60945073,"CKN1, CSA",ENSG00000049167,"ERCC excision repair 8, CSA ubiquitin ligase complex subunit"
EREG,chr4:74365145-74388749,ER,ENSG00000124882,Epiregulin
ERF,chr19:42247569-42255128,"PE-2, PE2",ENSG00000105722,ETS2 repressor factor
ERFE,chr2:238158970-238168900,"C1QTNF15, CTRP15, FAM132B, FLJ37034",ENSG00000178752,Erythroferrone
ERFL,chr19:41907704-41928449,erfl1,ENSG00000268041,ETS repressor factor like
ERG,chr21:38380027-38661780,"erg-3, p55",ENSG00000157554,ETS transcription factor ERG
ERG28,chr14:75649791-75660876,"C14orf1, NET51",ENSG00000133935,Ergosterol biosynthesis 28 homolog
ERGIC1,chr5:172834251-172952792,"ERGIC-32, ERGIC32, KIAA1181, NET24",ENSG00000113719,Endoplasmic reticulum-golgi intermediate compartment 1
ERGIC2,chr12:29337352-29381189,"Erv41, PTX1",ENSG00000087502,ERGIC and golgi 2
ERGIC3,chr20:35542038-35557634,"C20orf47, CGI-54, Erv46, NY-BR-84, PRO0989, SDBCAG84",ENSG00000125991,ERGIC and golgi 3
ERH,chr14:69380128-69398299,DROER,ENSG00000100632,ERH mRNA splicing and mitosis factor
ERI1,chr8:9002147-9116746,"3'HEXO, THEX1",ENSG00000104626,Exoribonuclease 1
ERI2,chr16:20780193-20900349,"EXOD1, KIAA1504, MGC16943, ZGRF5",ENSG00000196678,ERI1 exoribonuclease family member 2
ERI3,chr1:44221070-44355260,"FLJ22943, PINT1, PRNPIP",ENSG00000117419,ERI1 exoribonuclease family member 3
ERICH1,chr8:614746-738106,NA,ENSG00000104714,Glutamate rich 1
ERICH2,chr2:170766878-170798977,NA,ENSG00000204334,Glutamate rich 2
ERICH3,chr1:74568117-74673792,"C1orf173, DKFZp547I048, RP11-653A5.1",ENSG00000178965,Glutamate rich 3
ERICH4,chr19:41443156-41444765,"C19orf69, LOC100170765",ENSG00000204978,Glutamate rich 4
ERICH5,chr8:98064522-98093610,"C8orf47, FLJ39553",ENSG00000177459,Glutamate rich 5
ERICH6,chr3:150659885-150703971,"C3orf44, ERICH6A, FAM194A, MGC39662",ENSG00000163645,Glutamate rich 6
ERICH6B,chr13:45534522-45615739,"FAM194B, FLJ32682",ENSG00000165837,Glutamate rich 6B
ERLEC1,chr2:53787009-53833038,"C2orf30, CL25084, ERLECTIN, XTP3-B, XTP3TPB",ENSG00000068912,Endoplasmic reticulum lectin 1
ERLIN1,chr10:100150094-100186033,"C10orf69, Erlin-1, KE04, SPFH1, SPG62",ENSG00000107566,ER lipid raft associated 1
ERLIN2,chr8:37736601-37758422,"C8orf2, Erlin-2, NET32, SPFH2, SPG18",ENSG00000147475,ER lipid raft associated 2
ERMAP,chr1:42817122-42844991,"BTN5, RD, SC",ENSG00000164010,Erythroblast membrane associated protein (Scianna blood group)
ERMARD,chr6:169751622-169781600,"C6orf70, dJ266L20.3, FLJ11152",ENSG00000130023,ER membrane associated RNA degradation
ERMN,chr2:157318631-157327713,"ERMIN, JN, KIAA1189",ENSG00000136541,Ermin
ERMP1,chr9:5749832-5879537,"FLJ23309, FXNA, KIAA1815",ENSG00000099219,Endoplasmic reticulum metallopeptidase 1
ERN1,chr17:64039080-64130819,"IRE1, IRE1P",ENSG00000178607,Endoplasmic reticulum to nucleus signaling 1
ERN2,chr16:23690310-23713226,IRE1b,ENSG00000134398,Endoplasmic reticulum to nucleus signaling 2
ERO1A,chr14:52639915-52695900,"ERO1-alpha, Ero1alpha, ERO1L",ENSG00000197930,Endoplasmic reticulum oxidoreductase 1 alpha
ERO1B,chr1:236214681-236282019,"ERO1-L(beta), Ero1beta, ERO1LB",ENSG00000086619,Endoplasmic reticulum oxidoreductase 1 beta
ERP27,chr12:14914039-14938537,"C12orf46, FLJ32115, PDIA8",ENSG00000139055,Endoplasmic reticulum protein 27
ERP29,chr12:112013348-112023449,"C12orf8, ERp28, ERp31, PDI-DB, PDIA9",ENSG00000089248,Endoplasmic reticulum protein 29
ERP44,chr9:99979185-100099052,"KIAA0573, PDIA10, TXNDC4",ENSG00000023318,Endoplasmic reticulum protein 44
ERRFI1,chr1:8004404-8026309,"GENE-33, MIG-6, RALT",ENSG00000116285,ERBB receptor feedback inhibitor 1
ERV3-1,chr7:64990356-65006743,"envR, ERV-R, ERV3, H-PLK, HERV-R",ENSG00000213462,"Endogenous retrovirus group 3 member 1, envelope"
ERVFRD-1,chr6:11102489-11111725,"envFRD, ERVFRDE1, HERV-FRD, HERV-W/FRD, syncytin-2",ENSG00000244476,"Endogenous retrovirus group FRD member 1, envelope"
ERVH48-1,chr21:42916803-42925630,"C21orf105, NDUFV3-AS1, SUPYN",ENSG00000233056,Endogenous retrovirus group 48 member 1
ERVK3-1,chr19:58305374-58316812,HERV-K(HML6-1),ENSG00000142396,Endogenous retrovirus group K3 member 1
ERVMER34-1,chr4:52722618-52751586,envMER34,ENSG00000226887,"Endogenous retrovirus group MER34 member 1, envelope"
ERVV-1,chr19:53013921-53016123,"ENVV1, FLJ32214, HERV-V1",ENSG00000269526,"Endogenous retrovirus group V member 1, envelope"
ERVV-2,chr19:53044740-53051680,ENVV2,ENSG00000268964,"Endogenous retrovirus group V member 2, envelope"
